patents,royalties,internet,exports,telephones,electricity,schooling,university
187,125.6,200.2,50.7,3.08,4.15,10,27.4
289,130,179.1,66.2,3.00,4.07,12,13.9
271,156.6,125.8,59.7,3.10,4.14,11.4,15.3
994,64.6,49,80.8,3.00,3.86,9.5,10
779,9.8,4.8,66.7,2.97,3.65,10.8,23.2
189,151.2,136,50.9,3.02,3.77,9.4,9.5
82,134,57.4,61.9,3.02,3.73,9.4,14.9
31,38.6,108,48.7,2.94,4.18,11.6,14.2
75,18.2,125.9,16.2,2.94,3.94,10.9,25.3
8,25.5,72.3,74.9,2.95,3.83,7.1,24.2
235,36.8,41.2,64.2,2.94,3.75,10.2,14.4
103,20.2,193.6,19,3.12,4.39,11.9,11.2
106,110.3,48.6,53.6,2.97,3.68,9.4,12.3
72,73.9,58.9,47.6,2.91,3.86,9.3,13.6
103,13,146.7,15.4,2.86,3.91,11.7,13.1
165,14.8,84.2,50.3,2.99,3.79,8.4,13.6
205,33.6,36.4,58.9,2.97,3.80,7.9,12.6
74,43.6,43.2,45,2.96,3.74,9.6,11
42,8.6,21,53.4,2.86,3.62,7.3,15.6
13,9.8,30.4,51,3.00,3.65,7.2,13
28,4.2,25,51.7,2.75,3.68,9.5,8.2
26,6.2,21.6,63.5,2.73,3.46,9.1,7.7
105,4,20.3,49.5,2.84,3.71,7.1,10.6
6,0,33.6,33.6,3.08,3.72,9.4,9.8
24,2.7,10.2,48.7,2.68,3.59,9.3,9.5
0,0,16.4,17.9,2.92,3.57,8.7,17.2
6,2.7,17.7,40.7,2.95,3.53,5.9,12
23,0,3.7,30,2.60,3.50,9.5,10.3
30,0.6,11.4,36.2,2.56,3.39,9.8,6.6
0,0,2.4,67.4,2.53,3.41,6.8,3.3
9,0,6.7,41.7,2.63,3.39,6.3,10.6
1,0.4,9.2,66.3,2.28,3.18,7.2,5
0,0,16.9,23,2.87,3.54,9.2,4
8,0.5,8.7,19,2.51,3.28,8.8,12
71,0.2,2.7,25.3,2.36,3.21,9.5,7.2
0,0.3,4.1,52.6,2.38,3.16,6.1,5.7
0,6.6,6.2,6.1,2.55,3.32,7.6,13.2
2,0,19.6,13.3,2.56,3.25,7.6,7.3
0,1.7,8.4,30.2,2.43,3.58,6.1,3.4
1,0.3,1.6,48.9,2.09,3.13,6.5,4.6
0,0,7.7,14.2,2.39,3.54,7.8,3.3
0,0,1.9,5.1,2.40,3.08,8.6,8.5
2,0.8,7.2,32.9,2.38,3.25,4.9,3.4
0,0.1,0.4,32.8,1.89,2.65,8.2,5.2
1,0.1,0.1,39,2.08,2.87,6.4,3.2
1,0.2,0.3,26,2.05,2.61,5.6,7.7
1,0.2,1.9,13.7,2.37,2.94,5.3,5.2
0,0.2,0.7,2.9,2.03,2.81,7.6,7.5
0,2.4,0.4,1.5,2.41,3.35,5.3,1.6
1,0,0,2,2.12,3.13,5.3,6.5
0,1.1,0,19.7,1.98,2.92,5,3.8
0,35.3,0.5,2,2.14,2.88,6.2,2.2
0,0,0.3,3.2,2.09,2.80,6.4,6
0,0.2,0.3,19.2,2.14,2.75,5.2,3.6
0,0,1.7,5.7,2.17,2.80,4.9,5.7
0,0,0,1.2,2.01,2.92,5.8,4.6
0,0.7,0.1,8.8,1.89,2.94,5.5,2.9
0,0,0,1,1.73,2.75,5.4,6
0,0,0.5,12,1.56,2.95,5.4,1.6
0,0,0.2,17.9,1.6,2.51,5,3.1
0,0,0,8.2,1.76,2.65,4.8,3
0,0,0.2,5.2,1.69,2.39,6.9,1.4
1,0,0.1,16.6,1.45,2.58,5.1,1.7
0,0,0.4,3.6,1.59,2.45,4.6,3.8
0,0,0.1,7.9,1.38,2.53,3.9,1.4
0,0,0.2,28.5,1.43,2.05,2.6,0.5
0,0,0,4.1,1.08,2.46,3.9,0.4
0,0,0.2,7.2,1.04,2.11,4.2,0.3
0,0,0.1,1.9,1.08,1.67,2.4,0.7
0,0,0,6.7,0.78,1.73,2.7,0.2
0,0,0,0.4,0.95,1.67,2.1,0.7
0,0,0,12.2,0.70,1.73,1.1,0.2
